Water Depth [ft],Factor
5.9711,0.734
6.0039,0.7361
6.0367,0.7381
6.0696,0.7401
6.1024,0.7421
6.1352,0.7442
6.168,0.7462
6.2008,0.7482
6.2336,0.7503
6.2664,0.7523
6.2992,0.7543
6.332,0.7563
6.3648,0.7584
6.3976,0.7604
6.4304,0.7624
6.4633,0.7645
6.4961,0.7665
6.5289,0.7685
6.5617,0.7705
6.5945,0.7717
6.6273,0.7728
6.6601,0.7739
6.6929,0.775
6.7257,0.7761
6.7585,0.7772
6.7913,0.7783
6.8241,0.7794
6.857,0.7805
6.8898,0.7816
6.9226,0.7827
6.9554,0.7838
6.9882,0.7849
7.021,0.786
7.0538,0.7871
7.0866,0.7882
7.1194,0.7893
7.1522,0.7904
7.185,0.7915
7.2178,0.7927
7.2507,0.7938
7.2835,0.7949
7.3163,0.796
7.3491,0.7971
7.3819,0.7982
7.4147,0.7993
7.4475,0.8004
7.4803,0.8015
7.5131,0.8026
7.5459,0.8037
7.5787,0.8048
7.6115,0.8059
7.6444,0.807
7.6772,0.8081
7.71,0.8092
7.7428,0.8103
7.7756,0.8114
7.8084,0.8126
7.8412,0.8137
7.874,0.8148
7.9068,0.8159
7.9396,0.817
7.9724,0.8181
8.0052,0.8192
8.0381,0.8203
8.0709,0.8214
8.1037,0.8225
8.1365,0.8236
8.1693,0.8247
8.2021,0.8258
8.2349,0.8269
8.2677,0.828
8.3005,0.8291
8.3333,0.8302
8.3661,0.8313
8.399,0.8325
8.4318,0.8336
8.4646,0.8347
8.4974,0.8358
8.5302,0.8369
8.563,0.838
8.5958,0.8391
8.6286,0.8402
8.6614,0.8413
8.6942,0.8424
8.727,0.8435
8.7598,0.8446
8.7927,0.8457
8.8255,0.8468
8.8583,0.8479
8.8911,0.849
8.9239,0.8501
8.9567,0.8512
8.9895,0.8524
9.0223,0.8535
9.0551,0.8546
9.0879,0.8557
9.1207,0.8568
9.1535,0.8579
9.1864,0.859
9.2192,0.8601
9.252,0.8612
9.2848,0.8623
9.3176,0.8634
9.3504,0.8645
9.3832,0.8656
9.416,0.8667
9.4488,0.8678
9.4816,0.8689
9.5144,0.87
9.5472,0.8711
9.5801,0.8722
9.6129,0.8734
9.6457,0.8745
9.6785,0.8756
9.7113,0.8767
9.7441,0.8778
9.7769,0.8789
9.8097,0.88
9.8425,0.8811
9.8753,0.8817
9.9081,0.8822
9.9409,0.8828
9.9738,0.8833
10.0066,0.8839
10.0394,0.8844
10.0722,0.885
10.105,0.8856
10.1378,0.8861
10.1706,0.8867
10.2034,0.8872
10.2362,0.8878
10.269,0.8883
10.3018,0.8889
10.3346,0.8895
10.3675,0.89
10.4003,0.8906
10.4331,0.8911
10.4659,0.8917
10.4987,0.8923
10.5315,0.8928
10.5643,0.8934
10.5971,0.8939
10.6299,0.8945
10.6627,0.895
10.6955,0.8956
10.7283,0.8962
10.7612,0.8967
10.794,0.8973
10.8268,0.8978
10.8596,0.8984
10.8924,0.899
10.9252,0.8995
10.958,0.9001
10.9908,0.9006
11.0236,0.9012
11.0564,0.9017
11.0892,0.9023
11.122,0.9029
11.1549,0.9034
11.1877,0.904
11.2205,0.9045
11.2533,0.9051
11.2861,0.9056
11.3189,0.9062
11.3517,0.9068
11.3845,0.9073
11.4173,0.9079
11.4501,0.9084
11.4829,0.909
11.5157,0.9096
11.5486,0.9101
11.5814,0.9107
11.6142,0.9112
11.647,0.9118
11.6798,0.9123
11.7126,0.9129
11.7454,0.9135
11.7782,0.914
11.811,0.9146
11.8438,0.9151
11.8766,0.9157
11.9094,0.9163
11.9423,0.9168
11.9751,0.9174
12.0079,0.9179
12.0407,0.9185
12.0735,0.919
12.1063,0.9196
12.1391,0.9202
12.1719,0.9207
12.2047,0.9213
12.2375,0.9218
12.2703,0.9224
12.3031,0.9229
12.336,0.9235
12.3688,0.9241
12.4016,0.9246
12.4344,0.9252
12.4672,0.9257
12.5,0.9263
12.5328,0.9269
12.5656,0.9274
12.5984,0.928
12.6312,0.9285
12.664,0.9291
12.6969,0.9296
12.7297,0.9302
12.7625,0.9308
12.7953,0.9313
12.8281,0.9319
12.8609,0.9324
12.8937,0.933
12.9265,0.9336
12.9593,0.9341
12.9921,0.9347
13.0249,0.9352
13.0577,0.9358
13.0906,0.9363
13.1234,0.9369
13.1562,0.9373
13.189,0.9377
13.2218,0.938
13.2546,0.9384
13.2874,0.9388
13.3202,0.9392
13.353,0.9396
13.3858,0.9399
13.4186,0.9403
13.4514,0.9407
13.4843,0.9411
13.5171,0.9415
13.5499,0.9418
13.5827,0.9422
13.6155,0.9426
13.6483,0.943
13.6811,0.9434
13.7139,0.9438
13.7467,0.9441
13.7795,0.9445
13.8123,0.9449
13.8451,0.9453
13.878,0.9457
13.9108,0.946
13.9436,0.9464
13.9764,0.9468
14.0092,0.9472
14.042,0.9476
14.0748,0.9479
14.1076,0.9483
14.1404,0.9487
14.1732,0.9491
14.206,0.9495
14.2388,0.9498
14.2717,0.9502
14.3045,0.9506
14.3373,0.951
14.3701,0.9514
14.4029,0.9517
14.4357,0.9521
14.4685,0.9525
14.5013,0.9529
14.5341,0.9533
14.5669,0.9536
14.5997,0.954
14.6325,0.9544
14.6654,0.9548
14.6982,0.9552
14.731,0.9555
14.7638,0.9559
14.7966,0.9563
14.8294,0.9567
14.8622,0.9571
14.895,0.9574
14.9278,0.9578
14.9606,0.9582
14.9934,0.9586
15.0262,0.959
15.0591,0.9594
15.0919,0.9597
15.1247,0.9601
15.1575,0.9605
15.1903,0.9609
15.2231,0.9613
15.2559,0.9616
15.2887,0.962
15.3215,0.9624
15.3543,0.9628
15.3871,0.9632
15.4199,0.9635
15.4528,0.9639
15.4856,0.9643
15.5184,0.9647
15.5512,0.9651
15.584,0.9654
15.6168,0.9658
15.6496,0.9662
15.6824,0.9666
15.7152,0.967
15.748,0.9673
15.7808,0.9677
15.8136,0.9681
15.8465,0.9685
15.8793,0.9689
15.9121,0.9692
15.9449,0.9696
15.9777,0.97
16.0105,0.9704
16.0433,0.9708
16.0761,0.9711
16.1089,0.9715
16.1417,0.9719
16.1745,0.9723
16.2073,0.9727
16.2402,0.9731
16.273,0.9734
16.3058,0.9738
16.3386,0.9742
16.3714,0.9746
16.4042,0.975
16.437,0.9752
16.4698,0.9754
16.5026,0.9757
16.5354,0.9759
16.5682,0.9762
16.601,0.9764
16.6339,0.9766
16.6667,0.9769
16.6995,0.9771
16.7323,0.9773
16.7651,0.9776
16.7979,0.9778
16.8307,0.9781
16.8635,0.9783
16.8963,0.9785
16.9291,0.9788
16.9619,0.979
16.9948,0.9793
17.0276,0.9795
17.0604,0.9797
17.0932,0.98
17.126,0.9802
17.1588,0.9805
17.1916,0.9807
17.2244,0.9809
17.2572,0.9812
17.29,0.9814
17.3228,0.9817
17.3556,0.9819
17.3885,0.9821
17.4213,0.9824
17.4541,0.9826
17.4869,0.9829
17.5197,0.9831
17.5525,0.9833
17.5853,0.9836
17.6181,0.9838
17.6509,0.984
17.6837,0.9843
17.7165,0.9845
17.7493,0.9848
17.7822,0.985
17.815,0.9852
17.8478,0.9855
17.8806,0.9857
17.9134,0.986
17.9462,0.9862
17.979,0.9864
18.0118,0.9867
18.0446,0.9869
18.0774,0.9872
18.1102,0.9874
18.143,0.9876
18.1759,0.9879
18.2087,0.9881
18.2415,0.9884
18.2743,0.9886
18.3071,0.9888
18.3399,0.9891
18.3727,0.9893
18.4055,0.9896
18.4383,0.9898
18.4711,0.99
18.5039,0.9903
18.5367,0.9905
18.5696,0.9907
18.6024,0.991
18.6352,0.9912
18.668,0.9915
18.7008,0.9917
18.7336,0.9919
18.7664,0.9922
18.7992,0.9924
18.832,0.9927
18.8648,0.9929
18.8976,0.9931
18.9304,0.9934
18.9633,0.9936
18.9961,0.9939
19.0289,0.9941
19.0617,0.9943
19.0945,0.9946
19.1273,0.9948
19.1601,0.9951
19.1929,0.9953
19.2257,0.9955
19.2585,0.9958
19.2913,0.996
19.3241,0.9963
19.357,0.9965
19.3898,0.9967
19.4226,0.997
19.4554,0.9972
19.4882,0.9974
19.521,0.9977
19.5538,0.9979
19.5866,0.9982
19.6194,0.9984
19.6522,0.9986
19.685,0.9989
197.178,10
197.507,10
197.835,10
198.163,10
198.491,10
198.819,10
199.147,10
199.475,10
199.803,10
200.131,10
200.459,10
200.787,10
201.115,10
201.444,10
201.772,10
20.21,1
202.428,10
202.756,10
203.084,10
203.412,10
20.374,10
204.068,10
204.396,10
204.724,10
205.052,10
205.381,10
205.709,10
206.037,10
206.365,10
206.693,10
207.021,10
207.349,10
207.677,10
208.005,10
208.333,10
208.661,10
20.899,10
209.318,10
209.646,10
209.974,10
210.302,10
21.063,10
210.958,10
211.286,10
211.614,10
211.942,10
21.227,10
212.598,10
212.927,10
213.255,10
213.583,10
213.911,10
214.239,10
214.567,10
214.895,10
215.223,10
215.551,10
215.879,10
216.207,10
216.535,10
216.864,10
217.192,10
21.752,10
217.848,10
218.176,10
218.504,10
218.832,10
21.916,10
219.488,10
219.816,10
220.144,10
220.472,10
220.801,10
221.129,10
221.457,10
221.785,10
222.113,10
222.441,10
222.769,10
223.097,10
223.425,10
223.753,10
224.081,10
224.409,10
224.738,10
225.066,10
225.394,10
225.722,10
22.605,10
226.378,10
226.706,10
227.034,10
227.362,10
22.769,10
228.018,10
228.346,10
228.675,10
229.003,10
229.331,10
229.659,10
229.987,10
230.315,10
230.643,10
230.971,10
231.299,10
231.627,10
231.955,10
232.283,10
232.612,10
23.294,10
233.268,10
233.596,10
233.924,10
234.252,10
23.458,10
234.908,10
235.236,10
235.564,10
235.892,10
23.622,10
236.549,10
236.877,10
237.205,10
237.533,10
237.861,10
238.189,10
238.517,10
238.845,10
239.173,10
239.501,10
239.829,10
240.157,10
240.486,10
240.814,10
241.142,10
24.147,10
241.798,10
242.126,10
242.454,10
242.782,10
24.311,10
243.438,10
243.766,10
244.094,10
244.423,10
244.751,10
245.079,10
245.407,10
245.735,10
246.063,10
246.391,10
246.719,10
247.047,10
247.375,10
247.703,10
248.031,10
24.836,10
248.688,10
249.016,10
249.344,10
249.672,10
25,1
250.328,10
250.656,10
250.984,10
251.312,10
25.164,10
251.969,10
252.297,10
252.625,10
252.953,10
253.281,10
253.609,10
253.937,10
254.265,10
254.593,10
254.921,10
255.249,10
255.577,10
255.906,10
256.234,10
256.562,10
25.689,10
257.218,10
257.546,10
257.874,10
258.202,10
25.853,10
258.858,10
259.186,10
259.514,10
259.843,10
260.171,10
260.499,10
260.827,10
261.155,10
261.483,10
261.811,10
262.139,10
262.467,10
262.795,10
263.123,10
263.451,10
26.378,10
264.108,10
264.436,10
264.764,10
265.092,10
26.542,10
265.748,10
266.076,10
266.404,10
266.732,10
26.706,10
267.388,10
267.717,10
268.045,10
268.373,10
268.701,10
269.029,10
269.357,10
269.685,10
270.013,10
270.341,10
270.669,10
270.997,10
271.325,10
271.654,10
271.982,10
27.231,10
272.638,10
272.966,10
273.294,10
273.622,10
27.395,10
274.278,10
274.606,10
274.934,10
275.262,10
275.591,10
275.919,10
276.247,10
276.575,10
276.903,10
277.231,10
277.559,10
277.887,10
278.215,10
278.543,10
278.871,10
279.199,10
279.528,10
279.856,10
280.184,10
280.512,10
28.084,10
281.168,10
281.496,10
281.824,10
282.152,10
28.248,10
282.808,10
283.136,10
283.465,10
283.793,10
284.121,10
284.449,10
284.777,10
285.105,10
285.433,10
285.761,10
286.089,10
286.417,10
286.745,10
287.073,10
287.402,10
28.773,10
288.058,10
288.386,10
288.714,10
289.042,10
28.937,10
289.698,10
290.026,10
290.354,10
290.682,10
29.101,10
291.339,10
291.667,10
291.995,10
292.323,10
292.651,10
292.979,10
293.307,10
293.635,10
293.963,10
294.291,10
294.619,10
294.948,10
295.276,10
295.604,10
295.932,10
29.626,10
296.588,10
296.916,10
297.244,10
297.572,10
29.79,1
298.228,10
298.556,10
298.885,10
299.213,10
299.541,10
299.869,10
300.197,10
300.525,10
300.853,10
301.181,10
301.509,10
301.837,10
302.165,10
302.493,10
302.822,10
30.315,10
303.478,10
303.806,10
304.134,10
304.462,10
30.479,10
305.118,10
305.446,10
305.774,10
306.102,10
30.643,10
306.759,10
307.087,10
307.415,10
307.743,10
308.071,10
308.399,10
308.727,10
309.055,10
309.383,10
309.711,10
310.039,10
310.367,10
310.696,10
311.024,10
311.352,10
31.168,10
312.008,10
312.336,10
312.664,10
312.992,10
31.332,10
313.648,10
313.976,10
314.304,10
314.633,10
314.961,10
315.289,10
315.617,10
315.945,10
316.273,10
316.601,10
316.929,10
317.257,10
317.585,10
317.913,10
318.241,10
31.857,10
318.898,10
319.226,10
319.554,10
319.882,10
32.021,10
320.538,10
320.866,10
321.194,10
321.522,10
32.185,10
322.178,10
322.507,10
322.835,10
323.163,10
323.491,10
323.819,10
324.147,10
324.475,10
324.803,10
325.131,10
325.459,10
325.787,10
326.115,10
326.444,10
326.772,10
32.71,1
327.428,10
327.756,10
328.084,10
